Year,Team,Batting_R/G,Batting_G,Pitching_W,Pitching_L,Pitching_W-L%,Batting_BA,Batting_OBP,Batting_SLG,Batting_OPS,Pitching_ERA,Pitching_RA9,Pitching_WHIP,FIP,Batting_BatAge,Batting_PA,Batting_AB,Batting_R,Batting_H,Batting_2B,Batting_3B,Batting_HR,Batting_RBI,Batting_SB,Batting_CS,Batting_BB,Batting_SO,Batting_TB,Batting_HBP,Batting_SH,Batting_SF,Pitching_PAge,Pitching_R/G,Pitching_G,Pitching_GS,Pitching_GF,Pitching_CG,Pitching_SV,Pitching_IP,Pitching_H,Pitching_R,Pitching_ER,Pitching_HR,Pitching_BB,Pitching_SO,Pitching_H9,Pitching_HR9,Pitching_BB9,Pitching_SO9,Pitching_SO/W,Pitching_IP_decimal
2021,Équipe Québec,5.77,96,50,41,0.549,0.284,0.359,0.431,0.789,4.87,5.38,1.469,4.757,25.6,3709,3242,554,921,191,24,79,521,144,39,334,676,1397,67,22,44,25.3,4.99,96,96,91,5,21,801.1,849,479,434,82,328,675,9.5,0.9,3.7,7.6,2.06,801.3333333333334
2022,Aigles de Trois-Rivières,6.28,95,45,50,0.474,0.282,0.365,0.461,0.825,6.56,7.54,1.777,6.041,27,3652,3155,597,890,194,23,108,553,85,30,340,740,1454,93,23,41,25.4,7.04,95,95,91,4,23,799,980,669,582,125,440,655,11,1.4,5,7.4,1.49,799
2022,Capitales de Québec,5.64,96,62,34,0.646,0.275,0.352,0.44,0.792,3.5,4.04,1.251,4.518,26.1,3693,3235,541,889,145,21,116,499,92,22,323,720,1424,78,25,32,26.1,3.9,96,96,91,5,20,832.2,749,374,324,87,293,787,8.1,0.9,3.2,8.5,2.69,832.6666666666666
2022,Empire State Greys,3.38,96,6,90,0.063,0.226,0.297,0.324,0.621,9.2,10.28,2.069,7.271,24.9,3527,3153,324,713,123,21,48,291,70,25,266,871,1022,61,25,22,24.2,8.92,96,96,94,2,0,749.2,1045,856,766,160,506,571,12.5,1.9,6.1,6.9,1.13,749.6666666666666
2022,Evansville Otters,5.16,95,52,43,0.547,0.257,0.343,0.415,0.758,3.94,4.88,1.378,4.63,25.3,3624,3138,490,806,141,27,100,452,124,26,325,869,1301,104,26,31,25.6,4.69,95,95,92,3,24,822.2,745,446,360,78,389,829,8.2,0.9,4.3,9.1,2.13,822.6666666666666
2022,Florence Y'Alls,5.84,95,38,56,0.404,0.275,0.357,0.435,0.792,5.19,5.81,1.481,5.21,26.4,3707,3234,555,890,168,14,107,509,73,40,330,792,1407,95,22,26,25,5.6,95,95,94,1,12,824.2,899,532,476,130,322,827,9.8,1.4,3.5,9,2.57,824.6666666666666
2022,Gateway Grizzlies,5.46,96,47,49,0.49,0.262,0.348,0.43,0.778,5.04,5.64,1.393,5.462,26.9,3727,3233,524,847,163,13,118,477,93,33,354,851,1390,87,23,30,26.1,5.49,96,96,93,3,21,840.1,849,527,471,155,322,874,9.1,1.7,3.4,9.4,2.71,840.3333333333334
2022,Joliet Slammers,5.01,96,49,46,0.516,0.252,0.339,0.408,0.747,4.01,4.53,1.311,4.39,24.7,3674,3208,481,810,167,12,103,446,78,19,344,828,1310,91,3,28,25.2,4.38,96,96,93,3,22,834,746,420,372,69,347,804,8.1,0.7,3.7,8.7,2.32,834
2022,Lake Erie Crushers,4.71,96,49,47,0.51,0.261,0.343,0.395,0.738,4.57,5.28,1.451,4.86,24.9,3617,3161,452,826,141,14,85,401,131,46,343,769,1250,63,23,27,25.1,5.1,96,96,96,0,31,834.2,788,490,424,99,423,917,8.5,1.1,4.6,9.9,2.17,834.6666666666666
2022,New Jersey Jackals,6.47,94,45,49,0.479,0.295,0.366,0.478,0.845,6,7.07,1.665,5.333,26.8,3673,3240,608,957,182,15,127,564,87,26,318,674,1550,61,26,28,25.2,6.68,94,94,90,4,19,799.1,898,628,533,111,433,836,10.1,1.2,4.9,9.4,1.93,799.3333333333334
